uID,basicAdministrativeUnitName,basicAdministrativeUnitType,basicAdministrativeUnitContext,pID,,,,,,,,,
BA_01,Teritorial Sea,MaritimeLimitsAndBoundaries,"Territorial Sea is the sovereign right of a coastal State over the airspace above the territorial sea, the seabed, and its subsoil, with a breadth not exceeding 12 nautical miles from the baseline.",IDN,,,,,,,,,
BA_02,Contigenous Zone,MaritimeLimitsAndBoundaries,Contiguous Zone is a maritime zone that may not extend beyond 24 nautical miles from the established baseline.,IDN,,,,,,,,,
BA_03,Economic Exclusive Zone,MaritimeLimitsAndBoundaries,"Exclusive Economic Zone (EEZ) is an area beyond and adjacent to the territorial sea, subject to a specific legal regime (based on the rights and jurisdiction of the coastal State and the rights and freedoms of other States), with a breadth not exceeding 200 nautical miles.",IDN,,,,,,,,,
BA_04,Continental Shelf Zone,MaritimeLimitsAndBoundaries,"Continental Shelf comprises the seabed and subsoil of the submarine areas extending beyond the territorial sea throughout the natural prolongation of the land territory to the outer edge of the continental margin, or to a distance of 200 nautical miles from the baseline where the continental margin does not extend that far.",IDN,,,,,,,,,
BA_05,Extention Comtinental Shelf,MaritimeLimitsAndBoundaries,"Extended Continental Shelf refers to a continental shelf whose continental margin extends beyond 200 nautical miles, subject to determination based on specific requirements.",IDN,,,,,,,,,
BA_06,Internal Waters,MaritimeLimitsAndBoundaries,"Internal Waters are all waters located on the landward side of the baseline, such as ports, rivers, lakes, canals, and navigable waters.",IDN,,,,,,,,,
BA_07,Archipelagic Water,MaritimeLimitsAndBoundaries,Archipelagic Waters are waters enclosed by archipelagic baselines (with a maximum length of 100 nautical miles) connecting the outermost islands of an archipelagic State (Ratio between Water and Land is 9:1),IDN,,,,,,,,,
BA_08,Indonesian Archipelagic Sea Lanes (IASL),MaritimeLimitsAndBoundaries,sea lanes and air suitable for the continuous and expeditious passage of foreign ships and aircraft,IDN,,,,,,,,,
BA_09,Fisheries Zone,MaritimeLimitsAndBoundaries,"A fisheries zone is a maritime area in which a coastal State exercises sovereign rights or exclusive jurisdiction for the conservation, management, and exploitation of living marine resources, particularly fish stocks.",IDN,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Semua
,,,,,,,,,,,,,ZEE
,,,,,,,,,,,,,Semua
,,,,,,,,,,,,,PK
,,,,,,,,,,,,,Semua
,,,,,,,,,,,,,Semua
