saID,GM_Object,Location,BSL_Type
BSL_001,"MultiLineString ((104.5755560000000628 1.24083300000006602, 104.83055600000005825 1.04777800000005072))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_002,"MultiLineString ((104.5755560000000628 1.24083300000006602, 104.83055600000005825 1.04777800000005072))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_003,"MultiLineString ((105.59638900000004469 2.30000000000006821, 105.37944400000003498 2.7413890000000265))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_004,"MultiLineString ((105.37944400000003498 2.7413890000000265, 105.58333300000003874 3.09222200000004932))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_005,"MultiLineString ((105.58333300000003874 3.09222200000004932, 105.95111100000008264 3.33111100000002125))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_006,"MultiLineString ((105.95111100000008264 3.33111100000002125, 106.26888900000005833 3.4511110000000258))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_007,"MultiLineString ((106.26888900000005833 3.4511110000000258, 107.4358330000000592 4.06694400000003498))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_008,"MultiLineString ((107.4358330000000592 4.06694400000003498, 107.72138900000004469 4.51916700000003857))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_009,"MultiLineString ((107.72138900000004469 4.51916700000003857, 107.90555600000004688 4.70694400000002133))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_010,"MultiLineString ((107.90555600000004688 4.70694400000002133, 108.01083300000004783 4.79388900000003559))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_011,"MultiLineString ((108.01083300000004783 4.79388900000003559, 108.0219440000000759 4.79583300000007284))",Natuna Sea,Common Baseline (Garis Pangkal Biasa)
BSL_012,"MultiLineString ((108.0219440000000759 4.79583300000007284, 108.41777800000005527 4.01333300000004556))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_013,"MultiLineString ((108.41777800000005527 4.01333300000004556, 108.91444400000005999 3.03083300000002964))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_014,"MultiLineString ((108.91444400000005999 3.03083300000002964, 109.16777800000005527 2.64527800000007574))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_015,"MultiLineString ((109.16777800000005527 2.64527800000007574, 109.64527800000007574 2.08611100000007355))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_016,"MultiLineString ((109.64527800000007574 2.08611100000007355, 109.64666666700003361 2.08333333300004142))",Natuna Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_017,"MultiLineString ((117.9288888890000635 4.1661111120000669, 117.90805555600002208 4.16944444400002112))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_018,"MultiLineString ((117.9408333340001036 4.15944444400003022, 117.9288888890000635 4.1661111120000669))",Malaca Strait,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_019,"MultiLineString ((118.08277777700004663 4.01055555500005312, 117.9408333340001036 4.15944444400003022))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_020,"MultiLineString ((118.64472200000011526 2.25333300000005465, 118.08277777700004663 4.01055555500005312))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_021,"MultiLineString ((119.04055600000003778 1.78138900000004696, 118.64472200000011526 2.25333300000005465))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_022,"MultiLineString ((120.21388900000010835 0.99861100000003944, 119.04055600000003778 1.78138900000004696))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_023,"MultiLineString ((120.79194400000005771 1.33777800000007119, 120.21388900000010835 0.99861100000003944))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_024,"MultiLineString ((120.88444400000003043 1.37777800000003481, 120.79194400000005771 1.33777800000007119))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_025,"MultiLineString ((120.88444400000003043 1.37777800000003481, 120.79194400000005771 1.33777800000007119))",Celebes Sea,Common Baseline (Garis Pangkal Biasa)
BSL_026,"MultiLineString ((121.44333300000005238 1.31333300000005693, 120.88527800000008483 1.37805600000007189))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_027,"MultiLineString ((122.42972200000008343 1.1380560000000628, 121.44333300000005238 1.31333300000005693))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_028,"MultiLineString ((123.11250000000006821 1.04777800000005072, 122.42972200000008343 1.1380560000000628))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_029,"MultiLineString ((124.34388900000010381 1.15805600000004461, 123.11250000000006821 1.04777800000005072))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_030,"MultiLineString ((124.73083300000007512 1.7630560000000628, 124.34388900000010381 1.15805600000004461))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_031,"MultiLineString ((125.15777800000000752 2.73750000000006821, 124.73083300000007512 1.7630560000000628))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_032,"MultiLineString ((125.31638900000007197 4.23500000000007049, 125.15777800000000752 2.73750000000006821))",Celebes Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_033,"MultiLineString ((125.42805600000008326 4.67111100000005308, 125.31638900000007197 4.23500000000007049))",Mindanao Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_034,"MultiLineString ((125.47833300000002055 4.73722200000003113, 125.42805600000008326 4.67111100000005308))",Mindanao Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_035,"MultiLineString ((125.48222200000009252 4.74027800000004618, 125.47833300000002055 4.73722200000003113))",Mindanao Sea,Common Baseline (Garis Pangkal Biasa)
BSL_036,"MultiLineString ((125.49000000000000909 4.74611100000004171, 125.48222200000009252 4.74027800000004618))",Mindanao Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_037,"MultiLineString ((126.58166700000003857 5.56722200000007206, 125.49000000000000909 4.74611100000004171))",Philippine Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_038,"MultiLineString ((126.59138900000004924 5.56583300000005465, 126.58166700000003857 5.56722200000007206))",Philippine Sea,Common Baseline (Garis Pangkal Biasa)
BSL_039,"MultiLineString ((127.14222200000006069 4.7716670000000363, 126.59138900000004924 5.56583300000005465))",Philippine Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_040,"MultiLineString ((127.14555600000005597 4.76083300000004783, 127.14222200000006069 4.7716670000000363))",Philippine Sea,Common Baseline (Garis Pangkal Biasa)
BSL_041,"MultiLineString ((127.1636110000000599 4.64388900000005833, 127.14555600000005597 4.76083300000004783))",Philippine Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_042,"MultiLineString ((127.16472200000009707 4.62666700000005449, 127.1636110000000599 4.64388900000005833))",Philippine Sea,Common Baseline (Garis Pangkal Biasa)
BSL_043,"MultiLineString ((126.85166700000002038 3.75361100000003489, 127.16472200000009707 4.62666700000005449))",Halmahera Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_044,"MultiLineString ((128.57416700000010223 2.64555600000005597, 126.85166700000002038 3.75361100000003489))",Halmahera Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_045,"MultiLineString ((128.69916700000010223 2.42750000000006594, 128.69447626800001672 2.47204140900004177, 128.69246016800002508 2.48865446100006693, 128.69211062300007598 2.49095304100006842, 128.69140959300011673 2.49428069500004312, 128.690528554000025 2.49875774200006617, 128.68977553600007013 2.500953705000029, 128.68867059300009714 2.50300466200002347, 128.58757126000011795 2.63193614200002912, 128.58012236700005815 2.64002810300002011, 128.57649684000011803 2.6438010050000571, 128.57416700000010223 2.64555600000005597))",Halmahera Sea,Common Baseline (Garis Pangkal Biasa)
BSL_046,"MultiLineString ((128.73722200000008797 1.57888900000006061, 128.69916700000010223 2.42750000000006594))",Halmahera Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_047,"MultiLineString ((129.14166700000009769 0.72750000000002046, 128.73722200000008797 1.57888900000006061))",Halmahera Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_048,"MultiLineString ((130.73111100000005536 0.53555600000004233, 129.14166700000009769 0.72750000000002046))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_049,"MultiLineString ((131.25972200000001067 1.08888900000005151, 130.73111100000005536 0.53555600000004233))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_050,"MultiLineString ((131.28027800000006664 1.07444400000002815, 131.27836433200002375 1.08048938700005692, 131.27706469700001435 1.08444164400003729, 131.27457844900004602 1.08788575600004833, 131.27152713200007383 1.09037003100002039, 131.26858883700003844 1.09195093100004215, 131.26576354800010904 1.09251553900003273, 131.26265572900001644 1.09155570800004398, 131.26084754500004692 1.08986188200003653, 131.25972200000001067 1.08888900000005151))",Pacific Ocean,Common Baseline (Garis Pangkal Biasa)
BSL_051,"MultiLineString ((132.15944400000000769 -0.3377779999999575, 131.28027800000006664 1.07444400000002815))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_052,"MultiLineString ((132.4222220000000334 -0.34277799999995295, 132.15944400000000769 -0.3377779999999575))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_053,"MultiLineString ((132.71694400000001224 -0.36166699999995444, 132.4222220000000334 -0.34277799999995295))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_054,"MultiLineString ((134.29555600000003324 0.93944400000003725, 132.71694400000001224 -0.36166699999995444))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_055,"MultiLineString ((134.34166700000002947 0.93250000000006139, 134.29555600000003324 0.93944400000003725))",Pacific Ocean,Common Baseline (Garis Pangkal Biasa)
BSL_056,"MultiLineString ((135.27416700000003402 -0.39388899999994464, 134.34166700000002947 0.93250000000006139))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_057,"MultiLineString ((135.85583300000007512 -0.69888899999995147, 135.27416700000003402 -0.39388899999994464))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_058,"MultiLineString ((136.38722200000006524 -1.07027799999997342, 135.85583300000007512 -0.69888899999995147))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_059,"MultiLineString ((137.93083300000012059 -1.45638899999994464, 136.38722200000006524 -1.07027799999997342))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_060,"MultiLineString ((138.71583300000008876 -1.57388899999995147, 137.93083300000012059 -1.45638899999994464))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_061,"MultiLineString ((140.15194400000007136 -2.31999999999993634, 138.71583300000008876 -1.57388899999995147))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_062,"MultiLineString ((140.61305600000002869 -2.43944399999998041, 140.15194400000007136 -2.31999999999993634))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_063,"MultiLineString ((141.00000000000011369 -2.60444399999994403, 140.61305600000002869 -2.43944399999998041))",Pacific Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
