fuID,saID
LIM_BSL_001,BSL_001
LIM_BSL_002,BSL_002
LIM_BSL_003,BSL_003
LIM_BSL_004,BSL_004
LIM_BSL_005,BSL_005
LIM_BSL_006,BSL_006
LIM_BSL_007,BSL_007
LIM_BSL_008,BSL_008
LIM_BSL_009,BSL_009
LIM_BSL_010,BSL_010
LIM_BSL_011,BSL_011
LIM_BSL_012,BSL_012
LIM_BSL_013,BSL_013
LIM_BSL_014,BSL_014
LIM_BSL_015,BSL_015
LIM_BSL_016,BSL_016
LIM_BSL_017,BSL_017
LIM_BSL_018,BSL_018
LIM_BSL_019,BSL_019
LIM_BSL_020,BSL_020
LIM_BSL_021,BSL_021
LIM_BSL_022,BSL_022
LIM_BSL_023,BSL_023
LIM_BSL_024,BSL_024
LIM_BSL_025,BSL_025
LIM_BSL_026,BSL_026
LIM_BSL_027,BSL_027
LIM_BSL_028,BSL_028
LIM_BSL_029,BSL_029
LIM_BSL_030,BSL_030
LIM_BSL_031,BSL_031
LIM_BSL_032,BSL_032
LIM_BSL_033,BSL_033
LIM_BSL_034,BSL_034
LIM_BSL_035,BSL_035
LIM_BSL_036,BSL_036
LIM_BSL_037,BSL_037
LIM_BSL_038,BSL_038
LIM_BSL_039,BSL_039
LIM_BSL_040,BSL_040
LIM_BSL_041,BSL_041
LIM_BSL_042,BSL_042
LIM_BSL_043,BSL_043
LIM_BSL_044,BSL_044
LIM_BSL_045,BSL_045
LIM_BSL_046,BSL_046
LIM_BSL_047,BSL_047
LIM_BSL_048,BSL_048
LIM_BSL_049,BSL_049
LIM_BSL_050,BSL_050
LIM_BSL_051,BSL_051
LIM_BSL_052,BSL_052
LIM_BSL_053,BSL_053
LIM_BSL_054,BSL_054
LIM_BSL_055,BSL_055
LIM_BSL_056,BSL_056
LIM_BSL_057,BSL_057
LIM_BSL_058,BSL_058
LIM_BSL_059,BSL_059
LIM_BSL_060,BSL_060
LIM_BSL_061,BSL_061
LIM_BSL_062,BSL_062
LIM_BSL_063,BSL_063
LIM_BSL_064,BSL_064
LIM_BSL_065,BSL_065
LIM_BSL_066,BSL_066
LIM_BSL_067,BSL_067
LIM_BSL_068,BSL_068
LIM_BSL_069,BSL_069
LIM_BSL_070,BSL_070
LIM_BSL_071,BSL_071
LIM_BSL_072,BSL_072
LIM_BSL_073,BSL_073
LIM_BSL_074,BSL_074
LIM_BSL_075,BSL_075
LIM_BSL_076,BSL_076
LIM_BSL_077,BSL_077
LIM_BSL_078,BSL_078
LIM_BSL_079,BSL_079
LIM_BSL_080,BSL_080
LIM_BSL_081,BSL_081
LIM_BSL_082,BSL_082
LIM_BSL_083,BSL_083
LIM_BSL_084,BSL_084
LIM_BSL_085,BSL_085
LIM_BSL_086,BSL_086
LIM_BSL_087,BSL_087
LIM_BSL_088,BSL_088
LIM_BSL_089,BSL_089
LIM_BSL_090,BSL_090
LIM_BSL_091,BSL_091
LIM_BSL_092,BSL_092
LIM_BSL_093,BSL_093
LIM_BSL_094,BSL_094
LIM_BSL_095,BSL_095
LIM_BSL_096,BSL_096
LIM_BSL_097,BSL_097
LIM_BSL_098,BSL_098
LIM_BSL_099,BSL_099
LIM_BSL_100,BSL_100
LIM_BSL_101,BSL_101
LIM_BSL_102,BSL_102
LIM_BSL_103,BSL_103
LIM_BSL_104,BSL_104
LIM_BSL_105,BSL_105
LIM_BSL_106,BSL_106
LIM_BSL_107,BSL_107
LIM_BSL_108,BSL_108
LIM_BSL_109,BSL_109
LIM_BSL_110,BSL_110
LIM_BSL_111,BSL_111
LIM_BSL_112,BSL_112
LIM_BSL_113,BSL_113
LIM_BSL_114,BSL_114
LIM_BSL_115,BSL_115
LIM_BSL_116,BSL_116
LIM_BSL_117,BSL_117
LIM_BSL_118,BSL_118
LIM_BSL_119,BSL_119
LIM_BSL_120,BSL_120
LIM_BSL_121,BSL_121
LIM_BSL_122,BSL_122
LIM_BSL_123,BSL_123
LIM_BSL_124,BSL_124
LIM_BSL_125,BSL_125
LIM_BSL_126,BSL_126
LIM_BSL_127,BSL_127
LIM_BSL_128,BSL_128
LIM_BSL_129,BSL_129
LIM_BSL_130,BSL_130
LIM_BSL_131,BSL_131
LIM_BSL_132,BSL_132
LIM_BSL_133,BSL_133
LIM_BSL_134,BSL_134
LIM_BSL_135,BSL_135
LIM_BSL_136,BSL_136
LIM_BSL_137,BSL_137
LIM_BSL_138,BSL_138
LIM_BSL_139,BSL_139
LIM_BSL_140,BSL_140
LIM_BSL_141,BSL_141
LIM_BSL_142,BSL_142
LIM_BSL_143,BSL_143
LIM_BSL_144,BSL_144
LIM_BSL_145,BSL_145
LIM_BSL_146,BSL_146
LIM_BSL_147,BSL_147
LIM_BSL_148,BSL_148
LIM_BSL_149,BSL_149
LIM_BSL_150,BSL_150
LIM_BSL_151,BSL_151
LIM_BSL_152,BSL_152
LIM_BSL_153,BSL_153
LIM_BSL_154,BSL_154
LIM_BSL_155,BSL_155
LIM_BSL_156,BSL_156
LIM_BSL_157,BSL_157
LIM_BSL_158,BSL_158
LIM_BSL_159,BSL_159
LIM_BSL_160,BSL_160
LIM_BSL_161,BSL_161
LIM_BSL_162,BSL_162
LIM_BSL_163,BSL_163
LIM_BSL_164,BSL_164
LIM_BSL_165,BSL_165
LIM_BSL_166,BSL_166
LIM_BSL_167,BSL_167
LIM_BSL_168,BSL_168
LIM_BSL_169,BSL_169
LIM_BSL_170,BSL_170
LIM_BSL_171,BSL_171
LIM_BSL_172,BSL_172
LIM_BSL_173,BSL_173
LIM_BSL_174,BSL_174
LIM_BSL_175,BSL_175
LIM_BSL_176,BSL_176
LIM_BSL_177,BSL_177
LIM_BSL_178,BSL_178
LIM_BSL_179,BSL_179
LIM_BSL_180,BSL_180
LIM_BSL_181,BSL_181
LIM_BSL_182,BSL_182
LIM_BSL_183,BSL_183
LIM_BSL_184,BSL_184
LIM_BSL_185,BSL_185
LIM_BSL_186,BSL_186
LIM_BSL_187,BSL_187
LIM_BSL_188,BSL_188
LIM_BSL_189,BSL_189
LIM_BSL_190,BSL_190
LIM_BSL_191,BSL_191
LIM_BSL_192,BSL_192
LIM_BSL_193,BSL_193
LIM_TS_02,CURVE_CS/TS_001
LIM_TS_02,CURVE_EEZ/TS_001
LIM_TS_02,CURVE_EEZ/TS_002
LIM_TS_03,CURVE_TS_01
LIM_TS_01,CURVE_TS_02
LIM_TS_01,CURVE_TS_03
LIM_TS_01,CURVE_TS_04
LIM_TS_01,CURVE_TS_05
LIM_TS_01,CURVE_TS_06
LIM_TS_03,CURVE_TS_07
LIM_TS_01,CURVE_TS_08
LIM_TS_03,CURVE_TS_09
LIM_TS_03,CURVE_TS_10
LIM_TS_03,CURVE_TS_11
LIM_TS_01,CURVE_TS_12
LIM_TS_03,CURVE_TS_13
LIM_TS_04,CURVE_TS_14
LIM_TS_05,CURVE_TS_14A
LIM_TS_06,CURVE_TS_15
LIM_TS_03,CURVE_TS_16
LIM_TS_03,CURVE_TS_17
LIM_TS_01,CURVE_TS_18
LIM_TS_01,CURVE_TS_19
LIM_CZ_02,CURVE_CS/CZ_001
LIM_CZ_01,CURVE_CZ_01
LIM_CZ_01,CURVE_CZ_02
LIM_CZ_01,CURVE_CZ_03
LIM_CZ_01,CURVE_CZ_04
LIM_CZ_02,CURVE_EEZ/CZ_001
LIM_CZ_01,CURVE_CZ_05
LIM_CZ_01,CURVE_CZ_06
LIM_CZ_01,CURVE_CZ_07
LIM_EEZ_03A,CURVE_EEZ_01
LIM_EEZ_03C,CURVE_EEZ_02
LIM_EEZ_01,CURVE_EEZ_03
LIM_EEZ_03A,CURVE_EEZ_04
LIM_EEZ_05,CURVE_EEZ_05
LIM_EEZ_03F,CURVE_EEZ_06
LIM_EEZ_03F,CURVE_EEZ_07
LIM_EEZ_05,CURVE_EEZ_08
LIM_EEZ_05,CURVE_EEZ_09
LIM_EEZ_03B,CURVE_EEZ_10
LIM_EEZ_03A,CURVE_EEZ_11
LIM_EEZ_03D,CURVE_EEZ_12
LIM_EEZ_06,CURVE_EEZ_13
LIM_EEZ_01,CURVE_EEZ_14
LIM_EEZ_03E,CURVE_EEZ_15
LIM_EEZ_03E,CURVE_EEZ_16
LIM_EEZ_03E,CURVE_EEZ_17
LIM_EEZ_02,CURVE_EEZ/CS_0001
LIM_EEZ_02,CURVE_EEZ/CS_0002
LIM_EEZ_05,CURVE_EEZ/CS_0003
LIM_EEZ_02,CURVE_EEZ/CS_0004
LIM_EEZ_05,CURVE_EEZ/CS_0005
LIM_EEZ_02,CURVE_EEZ/CS_0006
LIM_EEZ_02,CURVE_EEZ/CS_0007
LIM_EEZ_05,CURVE_EEZ/CS/FISH_001
LIM_EEZ_03F,CURVE_EEZ/CZ_001
LIM_EEZ_05,CURVE_EEZ/FISH_002
LIM_EEZ_05,CURVE_EEZ/FISH_01
LIM_EEZ_07,CURVE_EEZ/TS_001
LIM_EEZ_07,CURVE_EEZ/TS_002
LIM_FISH_01,CURVE_EEZ/CS/FISH_001
LIM_FISH_01,CURVE_EEZ/FISH_002
LIM_FISH_01,CURVE_EEZ/FISH_01
LIM_FISH_01,CURVE_FISH_001
LIM_FISH_01,CURVE_FISH_002
LIM_FISH_01,CURVE_FISH_003
LIM_FISH_01,CURVE_FISH_004
LIM_CS_06I,CURVE_CS_01
LIM_CS_06J,CURVE_CS_02
LIM_CS_07A,CURVE_CS_03
LIM_CS_07A,CURVE_CS_04
LIM_CS_06I,CURVE_CS_05
LIM_CS_06L,CURVE_CS_06
LIM_CS_06L,CURVE_CS_07
LIM_CS_05,CURVE_CS_08
LIM_CS_06B,CURVE_CS_09
LIM_CS_06A,CURVE_CS_10
LIM_CS_06B,CURVE_CS_11
LIM_CS_06C,CURVE_CS_12
LIM_CS_06D,CURVE_CS_13
LIM_CS_06E,CURVE_CS_14
LIM_CS_06F,CURVE_CS_15
LIM_CS_06G,CURVE_CS_16
LIM_CS_06H,CURVE_CS_17
LIM_CS_06I,CURVE_CS_18
LIM_CS_03A,CURVE_CS_19
LIM_CS_06K,CURVE_CS_20
LIM_CS_06M,CURVE_CS_21
LIM_CS_06L,CURVE_CS_22
LIM_CS_03B,CURVE_CS_23
LIM_CS_03B,CURVE_CS_24
LIM_CS_06K,CURVE_CS_25
LIM_CS_06I,CURVE_CS/CZ_001
LIM_CS_07B,CURVE_CS/TS_001
LIM_CS_01,CURVE_EEZ/CS_0001
LIM_CS_01,CURVE_EEZ/CS_0002
LIM_CS_05,CURVE_EEZ/CS_0003
LIM_CS_01,CURVE_EEZ/CS_0004
LIM_CS_05,CURVE_EEZ/CS_0005
LIM_CS_01,CURVE_EEZ/CS_0006
LIM_CS_08,CURVE_EEZ/CS_0007
LIM_CS_06L,CURVE_EEZ/CS/FISH_001
LIM_ECS_01,CURVE_ECS_01
