fuID,Label,Status,ReleasibilityType,LocationTypeList,InterpolationRole,PointType,StartLifeSpan,EndLifeSpan,HorizontalDatum,VerticalDatum
LOC_TD.001_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.001A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.022_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.023_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.024_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.025_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.026_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.028_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.029_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.030A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.030B_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.030D_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.031_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.032_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.033_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.035_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.036_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.036A_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.036B_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.037_2008,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
