fuID,sID,Description
LOC_TD.001_2002,PP38_2002,National (Former Regulation)
LOC_TD.001A_2002,PP38_2002,National (Former Regulation)
LOC_TD.022_2002,PP38_2002,National (Former Regulation)
LOC_TD.023_2002,PP38_2002,National (Former Regulation)
LOC_TD.024_2002,PP38_2002,National (Former Regulation)
LOC_TD.025_2002,PP38_2002,National (Former Regulation)
LOC_TD.026_2002,PP38_2002,National (Former Regulation)
LOC_TD.028_2002,PP38_2002,National (Former Regulation)
LOC_TD.029_2002,PP38_2002,National (Former Regulation)
LOC_TD.030A_2002,PP38_2002,National (Former Regulation)
LOC_TD.030B_2002,PP38_2002,National (Former Regulation)
LOC_TD.030D_2002,PP38_2002,National (Former Regulation)
LOC_TD.031_2002,PP38_2002,National (Former Regulation)
LOC_TD.032_2002,PP38_2002,National (Former Regulation)
LOC_TD.033_2002,PP38_2002,National (Former Regulation)
LOC_TD.035_2002,PP38_2002,National (Former Regulation)
LOC_TD.039_2002,PP38_2002,National (Former Regulation)
LOC_TD.040_2002,PP38_2002,National (Former Regulation)
LOC_TD.043_2002,PP38_2002,National (Former Regulation)
LOC_TD.044_2002,PP38_2002,National (Former Regulation)
LOC_TD.044A_2002,PP38_2002,National (Former Regulation)
LOC_TD.044B_2002,PP38_2002,National (Former Regulation)
LOC_TD.045_2002,PP38_2002,National (Former Regulation)
LOC_TD.046A_2002,PP38_2002,National (Former Regulation)
LOC_TD.047_2002,PP38_2002,National (Former Regulation)
LOC_TD.048_2002,PP38_2002,National (Former Regulation)
LOC_TD.049A_2002,PP38_2002,National (Former Regulation)
LOC_TD.051A_2002,PP38_2002,National (Former Regulation)
LOC_TD.053A_2002,PP38_2002,National (Former Regulation)
LOC_TD.054_2002,PP38_2002,National (Former Regulation)
LOC_TD.055_2002,PP38_2002,National (Former Regulation)
LOC_TD.055A_2002,PP38_2002,National (Former Regulation)
LOC_TD.055B_2002,PP38_2002,National (Former Regulation)
LOC_TD.056_2002,PP38_2002,National (Former Regulation)
LOC_TD.056A_2002,PP38_2002,National (Former Regulation)
LOC_TD.057A_2002,PP38_2002,National (Former Regulation)
LOC_TD.057_2002,PP38_2002,National (Former Regulation)
LOC_TD.058A_2002,PP38_2002,National (Former Regulation)
LOC_TD.058_2002,PP38_2002,National (Former Regulation)
LOC_TD.059_2002,PP38_2002,National (Former Regulation)
LOC_TD.060_2002,PP38_2002,National (Former Regulation)
LOC_TD.061A_2002,PP38_2002,National (Former Regulation)
LOC_TD.062_2002,PP38_2002,National (Former Regulation)
LOC_TD.063_2002,PP38_2002,National (Former Regulation)
LOC_TD.065_2002,PP38_2002,National (Former Regulation)
LOC_TD.066_2002,PP38_2002,National (Former Regulation)
LOC_TD.066A_2002,PP38_2002,National (Former Regulation)
LOC_TD.070_2002,PP38_2002,National (Former Regulation)
LOC_TD.070A_2002,PP38_2002,National (Former Regulation)
LOC_TD.071_2002,PP38_2002,National (Former Regulation)
LOC_TD.072_2002,PP38_2002,National (Former Regulation)
LOC_TD.072A_2002,PP38_2002,National (Former Regulation)
LOC_TD.074_2002,PP38_2002,National (Former Regulation)
LOC_TD.076B_2002,PP38_2002,National (Former Regulation)
LOC_TD.077_2002,PP38_2002,National (Former Regulation)
LOC_TD.078_2002,PP38_2002,National (Former Regulation)
LOC_TD.079_2002,PP38_2002,National (Former Regulation)
LOC_TD.080_2002,PP38_2002,National (Former Regulation)
LOC_TD.080A_2002,PP38_2002,National (Former Regulation)
LOC_TD.081_2002,PP38_2002,National (Former Regulation)
LOC_TD.082_2002,PP38_2002,National (Former Regulation)
LOC_TD.082A_2002,PP38_2002,National (Former Regulation)
LOC_TD.082B_2002,PP38_2002,National (Former Regulation)
LOC_TD.082C_2002,PP38_2002,National (Former Regulation)
LOC_TD.083_2002,PP38_2002,National (Former Regulation)
LOC_TD.085_2002,PP38_2002,National (Former Regulation)
LOC_TD.086_2002,PP38_2002,National (Former Regulation)
LOC_TD.088A_2002,PP38_2002,National (Former Regulation)
LOC_TD.088E_2002,PP38_2002,National (Former Regulation)
LOC_TD.088F_2002,PP38_2002,National (Former Regulation)
LOC_TD.090_2002,PP38_2002,National (Former Regulation)
LOC_TD.091_2002,PP38_2002,National (Former Regulation)
LOC_TD.092_2002,PP38_2002,National (Former Regulation)
LOC_TD.093_2002,PP38_2002,National (Former Regulation)
