uID,rrrID
BA_01,RIGHT-001
BA_01,RESPONSIBILITY-001
BA_01,RESPONSIBILITY-002
BA_01,RESPONSIBILITY-003
BA_01,RESTRICTION-001
BA_02,RIGHT-003
BA_02,RESPONSIBILITY-001
BA_02,RESPONSIBILITY-002
BA_02,RESPONSIBILITY-003
BA_02,RESTRICTION-004
BA_03,RIGHT-002
BA_03,RESPONSIBILITY-001
BA_03,RESPONSIBILITY-002
BA_03,RESPONSIBILITY-003
BA_03,RESPONSIBILITY-004
BA_03,RESTRICTION-002
BA_04,RIGHT-002
BA_04,RESPONSIBILITY-001
BA_04,RESPONSIBILITY-002
BA_04,RESPONSIBILITY-003
BA_04,RESPONSIBILITY-005
BA_04,RESTRICTION-004
BA_05,RIGHT-002
BA_05,RESPONSIBILITY-001
BA_05,RESPONSIBILITY-002
BA_05,RESPONSIBILITY-003
BA_05,RESPONSIBILITY-005
BA_05,RESTRICTION-005
BA_06,RIGHT-001
BA_06,RESPONSIBILITY-001
BA_06,RESPONSIBILITY-002
BA_06,RESPONSIBILITY-003
BA_06,RESTRICTION-006
BA_07,RIGHT-001
BA_07,RESPONSIBILITY-001
BA_07,RESPONSIBILITY-002
BA_07,RESPONSIBILITY-003
BA_07,RESPONSIBILITY-006
BA_07,RESTRICTION-007
BA_08,RIGHT-001
BA_08,RESPONSIBILITY-006
BA_08,RESTRICTION-008
BA_09,RIGHT-004
BA_09,RESPONSIBILITY-004
BA_09,RESTRICTION-009
BA_09,RESTRICTION-010
BA_09,RESTRICTION-011
