rrrID,sID
RIGHT-001,UNCLOS1982
RIGHT-001,UU17_1985
RIGHT-001,UU06_1996
RIGHT-002,UNCLOS1982
RIGHT-002,UU17_1985
RIGHT-003,UNCLOS1982
RIGHT-003,UU17_1985
RESPONSIBILITY-001,UNCLOS1982
RESPONSIBILITY-001,UU17_1985
RESPONSIBILITY-002,UNCLOS1982
RESPONSIBILITY-002,UU17_1985
RESPONSIBILITY-003,UNCLOS1982
RESPONSIBILITY-003,UU17_1985
RESPONSIBILITY-003, UU06_1996
RESPONSIBILITY-003,PP36_2002
RESPONSIBILITY-004,UNCLOS1982
RESPONSIBILITY-004,UU17_1985
RESPONSIBILITY-005,UNCLOS1982
RESPONSIBILITY-005,UU17_1985
RESPONSIBILITY-006,UNCLOS1982
RESPONSIBILITY-006,UU17_1985
RESPONSIBILITY-006, UU06_1996
RESPONSIBILITY-006,PP37_2002
RESTRICTION-001,UNCLOS1982
RESTRICTION-001,UU17_1985
RESTRICTION-001,UU06_1996
RESTRICTION-002,UNCLOS1982
RESTRICTION-002,UU17_1985
RESTRICTION-003,UNCLOS1982
RESTRICTION-003,UU17_1985
RESTRICTION-004,UNCLOS1982
RESTRICTION-004,UU17_1985
RESTRICTION-005,UNCLOS1982
RESTRICTION-005,UU17_1985
RESTRICTION-006,UNCLOS1982
RESTRICTION-006,UU17_1985
RESTRICTION-006,UU06_1996
RESTRICTION-007,UNCLOS1982
RESTRICTION-007,UU17_1985
RESTRICTION-007,UU06_1996
RESTRICTION-008,PP37_2002
RIGHT-004,IDN_AUS_FISHERIES_1993
RESTRICTION-009,IDN_AUS_FISHERIES_1993
RESTRICTION-010,IDN_AUS_FISHERIES_1993
RESTRICTION-011,IDN_AUS_FISHERIES_1993
