sID,pID
UNCLOS1982,AUS
UNCLOS1982,PNG
UNCLOS1982,IDN
UNCLOS1982,IND
UNCLOS1982,MYS
UNCLOS1982,PHL
UNCLOS1982,PLW
UNCLOS1982,SGP
UNCLOS1982,THA
UNCLOS1982,TLS
UNCLOS1982,VNM
PP36_2002,IDN
PP37_2002,IDN
UU17_1985,IDN
PP38_2002,IDN
PP37_2008,IDN
UU06_1996,IDN
UU32_2014,IDN
IDN_MYS_CS_1969,IDN
IDN_MYS_CS_1969,MYS
TREATY_MYS_CS_1969,IDN
TREATY_MYS_CS_1969,MYS
IDN_MYS_TS_1971,IDN
IDN_MYS_TS_1971,MYS
TREATY_MYS_TS_1970,IDN
TREATY_MYS_TS_1970,MYS
IDN_SGP_TS_1973,IDN
IDN_SGP_TS_1973,SGP
TREATY_SGP_TS_1973,IDN
TREATY_SGP_TS_1973,SGP
IDN_SGP_TS_W_2010,IDN
IDN_SGP_TS_W_2010,SGP
TREATY_SGP_TS_W_2009,IDN
TREATY_SGP_TS_W_2009,SGP
IDN_SGP_TS_E_2017,IDN
IDN_SGP_TS_E_2017,SGP
ANNEX_IDN_SGP_TS_E_2017,IDN
ANNEX_IDN_SGP_TS_E_2017,SGP
TREATY_SGP_TS_E_2014,IDN
TREATY_SGP_TS_E_2014,SGP
IDN_AUS_CS_1971,IDN
IDN_AUS_CS_1971,AUS
TREATY_AUS_CS_1971,IDN
TREATY_AUS_CS_1971,AUS
TREATY_AUS_CS_1972,IDN
TREATY_AUS_CS_1972,AUS
IDN_AUS_CS_1972,IDN
IDN_AUS_CS_1972,AUS
ANNEX_IDN_AUS_CS_1972,IDN
ANNEX_IDN_AUS_CS_1972,AUS
IDN_AUS_CS_1973,IDN
IDN_AUS_CS_1973,AUS
TREATY_AUS_CS_1973,IDN
TREATY_AUS_CS_1973,AUS
IDN_AUS_FISHERIES_1993,IDN
IDN_AUS_FISHERIES_1993,AUS
MOU_AUS_1981,IDN
MOU_AUS_1981,AUS
TREATY_IDN_AUS_EEZ/CS_1997,IDN
TREATY_IDN_AUS_EEZ/CS_1997,AUS
IDN_MYS_THA_1972,IDN
IDN_MYS_THA_1972,MYS
IDN_MYS_THA_1972,THA
TREATY_IDN_MYS_THA_1971,IDN
TREATY_IDN_MYS_THA_1971,MYS
TREATY_IDN_MYS_THA_1971,THA
IDN_THA_1972,IDN
IDN_THA_1972,THA
TREATY_THA_CS_1971,IDN
TREATY_THA_CS_1971,THA
IDN_THA_1977,IDN
IDN_THA_1977,THA
TREATY_THA_CS_1975,IDN
TREATY_THA_CS_1975,THA
IDN_IND_1974,IDN
IDN_IND_1974,IND
TREATY_IND_CS_1974,IDN
TREATY_IND_CS_1974,IND
IDN_IND_1977,IDN
IDN_IND_1977,IND
TREATY_IND_CS_1977,IDN
TREATY_IND_CS_1977,IND
IDN_TRI_1978,IDN
IDN_TRI_1978,THA
IDN_TRI_1978,IND
TREATY_TRI_1978,IDN
TREATY_TRI_1978,THA
TREATY_TRI_1978,IND
IDN_VNM_2007,IDN
IDN_VNM_2007,VNM
TREATY_VNM_CS_2003,IDN
TREATY_VNM_CS_2003,VNM
IDN_PHL_2014,IDN
IDN_PHL_2014,PHL
TREATY_PHL_EEZ_2014,IDN
TREATY_PHL_EEZ_2014,PHL
IDN_PNG_1980,IDN
IDN_PNG_1980,PNG
TREATY_PNG_1980,IDN
TREATY_PNG_1980,PNG
CLCS_SUM_2008,IDN
UU16_2023,IDN
UU43_2008,IDN
DEPOSIT_INDONESIA_2009,IDN
