sID,sourceDocumentName,sourceOnlineResourceLinkageURL,sourceOnlineResourceProtocol,sourceOnlineResourceApplicationProfile,sourceOnlineResourceName,sourceOnlineResourceDescription,sourceOnlineResourceFunction,sourceRegistryNumber,sourceAdministrativeDateStamp,sourceAuthoritativeDate,sourceDocumentType,sourceAvailabilityStatus,administrativeSourceType,spatialSourceType,sourceType,sourceRecordation,responsiblePartyContactOnline,responsiblePartyOnlineProtocol,responsiblePartyOnlineApplicationProfile,responsiblePartyOnlineContactName,responsiblePartyOnlineDescription,responsiblePartyOganizationName,responsiblePartyPositionName,responsiblePartyContactPhone,responsiblePartyRole,responsiblePartyContactAddressCountry,responsiblePartyContactAddressDeliveryPoint,responsiblePartyContactAddressCity,responsiblePartyContactElectronicMailAddress,responsiblePartyContactAddressAdministrativeArea,responsiblePartyContactAddressPostalCode
UNCLOS1982,United Nations Convention on the Law of the Sea,https://www.un.org/depts/los/convention_agreements/texts/unclos/unclos_e.pdf,HTTPS,"HTML, PDF",UNCLOS 1982,"International conventions governing the law of the sea regime, including the determination of the territorial sea, EEZ, and the continental shelf. All information is provided based on the availability of verifiable sources.","information, download",UNCLOS 1982,2026-04-24,1982-12-10,International Convention,docAvailable,internationalAgreement,,Convention,1982-12-10,https://www.un.org/depts/los,HTTPS,HTML,United Nations Division for Ocean Affairs and the Law of the Sea (DOALOS),information,United Nations,Secretariat / Legal Affairs Division,(+1)-212-963-1234,Publisher,International,United Nations Headquarters,New York,doalos@un.org,New York,10017
UU17_1985,Undang-undang (UU) Nomor 17 Tahun 1985 tentang Pengesahan Konvensi Perserikatan Bangsa-Bangsa tentang Hukum Laut (United Nations Convention on The Law of The Sea),https://peraturan.bpk.go.id/Details/46968,HTTPS,"HTML, PDF",UU Nomor 17 Tahun 1985,Undang-Undang (Law) ratifying the United Nations Convention on the Law of the Sea (UNCLOS) into law applicable in Indonesia. All information is provided based on the availability of verifiable sources.,"information, download",UU No. 17 Tahun 1985,2026-04-24,1985-12-31,Law,docAvailable,domesticLegislativeInstrument,,Legislation,1985-12-31,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
PP38_2002,Peraturan Pemerintah (PP) Nomor 38 Tahun 2002 tentang Daftar KoordIDNt Geografis Titik-Titik Garis Pangkal Kepulauan Indonesia,https://peraturan.bpk.go.id/Details/52451/pp-no-38-tahun-2002,HTTPS,"HTML, PDF",PP No.38 TH 2002,Peraturan Pemerintah (Government Regulation) establishing the geographical coordinates of the points of the Indonesian archipelagic baselines; hydrographicChart is used to indicate the referenced spatial chart source. All information is presented in accordance with the availability of verifiable sources.,"information, download",PP No. 38 Tahun 2002,2026-04-24,2002-06-28,Government Regulation,docAvailable,domesticLegislativeInstrument,hydrographicChart,Legislation,2002-06-28,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
PP37_2008,Peraturan Pemerintah (PP) Nomor 37 Tahun 2008 tentang Perubahan Atas Peraturan Pemerintah Nomor 38 Tahun 2002 Tentang Daftar KoordIDNt Geografis Titik Titik Garis Pangkal Kepulauan Indonesia,https://peraturan.bpk.go.id/Details/4851/pp-no-37-tahun-2008,HTTPS,"HTML, PDF",PP 37 Tahun 2008,Amendments and updates to the list of geographical coordinates of the Indonesian archipelagic baselines; hydrographicChart is used to indicate the referenced spatial chart source. All information is provided based on the availability of verifiable sources.,"information, download",PP No. 37 Tahun 2008,2026-04-24,2008-05-19,Government Regulation,docAvailable,domesticLegislativeInstrument,hydrographicChart,Legislation,2008-05-19,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
DEPOSIT_INDONESIA_2009,"Deposit by the Republic of Indonesia of a list of geographical coordIDNtes of points, pursuant to article 47, paragraph 9, of the Convention",https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/mzn_s/mzn67.pdf,HTTPS,"HTML, PDF",mzn67,"Deposit of a list of geographical coordinates of points defining the Indonesian archipelagic baselines, submitted to the United Nations in accordance with UNCLOS obligations, based on Government Regulation No. 38 of 2002 as amended by Government Regulation No. 37 of 2008. All information is presented based on the availability of verifiable sources. ","information, download",M.Z.N.67.2009.LOS (Maritime Zone Notification),2026-04-24,2009-03-25,International Submission (Deposit of coordIDNtes),docAvailable,domesticAdministrative,hydrographicChart,Submission,2009-03-11,https://peraturan.bpk.go.id/,HTTPS,HTML,United Nations Division for Ocean Affairs and the Law of the Sea (DOALOS),information,United Nations (DOALOS),,(+1)-212-963-1234,pointofContact,Indonesia,United Nations Headquarters,New York,doalos@un.org,New York,10017
UU06_1996,Undang-undang (UU) Nomor 6 Tahun 1996 tentang Perairan Indonesia,https://peraturan.bpk.go.id/Details/46096/uu-no-6-tahun-1996,HTTPS,"HTML, PDF",UU Nomor 6 Tahun 1996.pdf,"Undang-Undang (Law) governing Indonesian waters, including the territorial sea, archipelagic waters, internal waters, and Indonesia’s maritime rights and authority. Used as a specific source for RRR related to Indonesian waters and foreign vessel passage; institutional and maritime law enforcement aspects refer to Law No. 32 of 2014 on Maritime Affairs. All information is provided based on the availability of verifiable source","information, download",UU No. 6 Tahun 1996,2026-04-24,1996-08-08,Law,docAvailable,domesticLegislativeInstrument,,Law,1996-08-08,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
UU32_2014,Undang-undang (UU) Nomor 32 Tahun 2014 tentang Kelautan,http://peraturan.bpk.go.id/Details/38710/uu-no-32-tahun-2014,HTTPS,"HTML, PDF",UU Nomor 32 Tahun 2014.pdf,"Law governing the administration of Indonesian maritime affairs, including maritime areas, marine spatial management, marine environmental protection, defense, security, law enforcement, safety at sea, as well as governance and institutional arrangements. All information is provided based on the availability of verifiable source","information, download",UU No. 32 Tahun 2014,2026-05-07,2014-10-17,Law,docAvailable,domesticLegislativeInstrument,,Legislation,2014-10-17,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
IDN_MYS_CS_1969,Keputusan Presiden (Keppres) Nomor 89 Tahun 1969 tentang Mengesahkan Persetujuan antara Republik Indonesia dan Pemerintah Malaysia Tentang Penetapan Garis-Garis Landas Kontinen Antara Kedua Negara,https://peraturan.bpk.go.id/Details/105468/keppres-no-89-tahun-1969,HTTPS,"HTML, PDF",Kepres No.89 Tahun 1969,Ratification of the Indonesia–Malaysia bilateral agreement regarding the delimitation of continental shelf boundaries in the Malacca Strait and the South China Sea. All information is provided based on the availability of verifiable sources.,"information, download",Keppres No. 89 Tahun 1969,2026-04-24,1969-11-05,Presidential Decree,docAvailable,domesticLegislativeInstrument,,Legislation,1969-11-05,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_MYS_CS_1969,"Agreement between the Government of Malaysia and the Government of Indonesia on the delimitation of the continental shelves between the two countries, 27 October 1969",https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/MYS-IDN1969CS.PDF,HTTPS,"HTML, PDF",MYS-IDN1969CS,Bilateral agreement between Indonesia and Malaysia on the delimitation of the continental shelf boundaries in the Malacca Strait and the South China Sea. All information is presented in accordance with the availability of verifiable sources.,"information, download",Agreement Indonesia-Malaysia Delimitation of Continental Shelves 1969,2026-04-24,,Agreement,docAvailable,internationalAgreement,relativeMeasurement,Treaty,,https://www.un.org/depts/los,HTTPS,HTML,United Nations Division for Ocean Affairs and the Law of the Sea (DOALOS),information,United Nations,Secretariat / Legal Affairs Division,(+1)-212-963-1234,Custodian,International,United Nations Headquarters,New York,doalos@un.org,New York,10017
IDN_MYS_TS_1971,Undang-undang (UU) Nomor 2 Tahun 1971 tentang Perjanjian antara Republik Indonesia dan Malaysia Tentang Penetapan Garis Batas Laut Wilayah Kedua Negara Di Selat Malaka,https://peraturan.bpk.go.id/Details/47556/uu-no-2-tahun-1971,HTTPS,"HTML, PDF",UU Nomor 2 Tahun 1971,Ratification of the bilateral agreement establishing the territorial sea boundaries between Indonesia and Malaysia in the Malacca Strait. All information is presented in accordance with the availability of verifiable sources.,"information, download",UU No. 2 Tahun 1971,2026-04-24,1971-03-10,Law,docAvailable,domesticLegislativeInstrument,,Legislation,1971-03-10,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
