sourceOnlineResourceID,sourceOnlineResourceLinkageURL,sourceOnlineResourceProtocol,sourceOnlineResourceApplicationProfile,sourceOnlineResourceName,sourceOnlineResourceDescription,sourceOnlineResourceFunction
SOR_UNCLOS1982,https://www.un.org/depts/los/convention_agreements/texts/unclos/unclos_e.pdf,HTTPS,HTML,UNCLOS 1982,"International conventions governing the law of the sea regime, including the determination of the territorial sea, EEZ, and the continental shelf. All information is provided based on the availability of verifiable sources.",download
SOR_UU17_1985,https://peraturan.bpk.go.id/Details/46968,HTTPS,HTML,UU Nomor 17 Tahun 1985,Undang-Undang (Law) ratifying the United Nations Convention on the Law of the Sea (UNCLOS) into law applicable in Indonesia. All information is provided based on the availability of verifiable sources.,information
SOR_PP38_2002,https://peraturan.bpk.go.id/Details/52451/pp-no-38-tahun-2002,HTTPS,HTML,PP No.38 TH 2002,Peraturan Pemerintah (Government Regulation) establishing the geographical coordinates of the points of the Indonesian archipelagic baselines; hydrographicChart is used to indicate the referenced spatial chart source. All information is presented in accordance with the availability of verifiable sources.,information
SOR_PP37_2008,https://peraturan.bpk.go.id/Details/4851/pp-no-37-tahun-2008,HTTPS,HTML,PP 37 Tahun 2008,Amendments and updates to the list of geographical coordinates of the Indonesian archipelagic baselines; hydrographicChart is used to indicate the referenced spatial chart source. All information is provided based on the availability of verifiable sources.,information
SOR_DEPOSIT_INDONESIA_2009,https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/mzn_s/mzn67.pdf,HTTPS,HTML,mzn67,"Deposit of a list of geographical coordinates of points defining the Indonesian archipelagic baselines, submitted to the United Nations in accordance with UNCLOS obligations, based on Government Regulation No. 38 of 2002 as amended by Government Regulation No. 37 of 2008. All information is presented based on the availability of verifiable sources. ",download
SOR_UU06_1996,https://peraturan.bpk.go.id/Details/46096/uu-no-6-tahun-1996,HTTPS,HTML,UU Nomor 6 Tahun 1996.pdf,"Undang-Undang (Law) governing Indonesian waters, including the territorial sea, archipelagic waters, internal waters, and Indonesia’s maritime rights and authority. Used as a specific source for RRR related to Indonesian waters and foreign vessel passage; institutional and maritime law enforcement aspects refer to Law No. 32 of 2014 on Maritime Affairs. All information is provided based on the availability of verifiable source",information
SOR_UU32_2014,http://peraturan.bpk.go.id/Details/38710/uu-no-32-tahun-2014,HTTPS,HTML,UU Nomor 32 Tahun 2014.pdf,"Law governing the administration of Indonesian maritime affairs, including maritime areas, marine spatial management, marine environmental protection, defense, security, law enforcement, safety at sea, as well as governance and institutional arrangements. All information is provided based on the availability of verifiable source",information
SOR_IDN_MYS_CS_1969,https://peraturan.bpk.go.id/Details/105468/keppres-no-89-tahun-1969,HTTPS,HTML,Kepres No.89 Tahun 1969,Ratification of the Indonesia–Malaysia bilateral agreement regarding the delimitation of continental shelf boundaries in the Malacca Strait and the South China Sea. All information is provided based on the availability of verifiable sources.,information
SOR_TREATY_MYS_CS_1969,https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/MYS-IDN1969CS.PDF,HTTPS,HTML,MYS-IDN1969CS,Bilateral agreement between Indonesia and Malaysia on the delimitation of the continental shelf boundaries in the Malacca Strait and the South China Sea. All information is presented in accordance with the availability of verifiable sources.,download
SOR_IDN_MYS_TS_1971,https://peraturan.bpk.go.id/Details/47556/uu-no-2-tahun-1971,HTTPS,HTML,UU Nomor 2 Tahun 1971,Ratification of the bilateral agreement establishing the territorial sea boundaries between Indonesia and Malaysia in the Malacca Strait. All information is presented in accordance with the availability of verifiable sources.,information
SOR_TREATY_MYS_TS_1970,https://maritimeindex.org/wp-content/uploads/2022/01/ENG-treaty-between-the-republic-of-indonesia-and-malaysia-relating-the-delimitation-of-the-territorial-seas-of-the-two-countries-in-the-straits-of-malacca-1970.pdf,HTTPS,HTML,Treaty Indonesia-Malaysia of Territorial Sea 1970,"Bilateral agreement establishing the territorial sea boundaries between Indonesia and Malaysia in the Malacca Strait. The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.",download
SOR_IDN_SGP_TS_1973,https://peraturan.bpk.go.id/Details/47436/uu-no-7-tahun-1973,HTTPS,HTML,UU Nomor 7 Tahun 1973,Ratification of the bilateral agreement on the delimitation of the territorial sea boundaries between Indonesia and Singapore in the Singapore Strait. All information is presented in accordance with the availability of verifiable sources.,information
SOR_TREATY_SGP_TS_1973,https://maritimeindex.org/wp-content/uploads/2021/12/INDONE3.pdf,HTTPS,HTML,INDONE3,"Bilateral agreement for the delimitation of the territorial sea boundaries between Indonesia and Singapore based on the 1973 agreement. The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.",download
SOR_IDN_SGP_TS_W_2010,https://peraturan.bpk.go.id/Details/38539/uu-no-4-tahun-2010,HTTPS,HTML,UU Nomor 4 Tahun 2010,Ratification of the agreement on the delimitation of the territorial sea boundaries in the western part of the Singapore Strait. All information is presented in accordance with the availability of verifiable sources.,information
SOR_TREATY_SGP_TS_W_2009,https://maritimeindex.org/wp-content/uploads/2021/12/IN3F941.pdf,HTTPS,HTML,IN3F941,"Agreement on the delimitation of the territorial sea boundaries in the western part of the Singapore Strait.The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.",download
SOR_IDN_SGP_TS_E_2017,https://peraturan.bpk.go.id/Details/11963/uu-no-1-tahun-2017,HTTPS,HTML,UU Nomor 1 Tahun 2017,Ratification of the agreement on the delimitation of the territorial sea boundaries in the eastern part of the Singapore Strait. All information is presented in accordance with the availability of verifiable sources.,information
SOR_ANNEX_IDN_SGP_TS_E_2017,https://peraturan.bpk.go.id/Details/11963/uu-no-1-tahun-2017,HTTPS,HTML,UU Nomor 1 Tahun 2017 - Lampiran,Annex of ratification of the agreement on the delimitation of the territorial sea boundaries in the eastern part of the Singapore Strait. All information is presented in accordance with the availability of verifiable sources.,information
